央视,#genre#
呼伦贝尔文化旅游,http://39.136.35.159:8006/050000001888/5000000188800000153/index.m3u8
呼伦贝尔生活资讯,http://39.136.35.159:8006/050000001888/5000000188800000154/index.m3u8


其他,#genre#
咪咕视频,http://39.136.35.159:8006/050000001888/5000000188800000103/index.m3u8
睛彩竞技,http://39.136.35.159:8006/050000001888/5000000188800000106/index.m3u8
睛彩篮球,http://39.136.35.159:8006/050000001888/5000000188800000107/index.m3u8
睛彩青少,http://39.136.35.159:8006/050000001888/5000000188800000109/index.m3u8
影视0,http://39.136.35.159:8006/050000001888/5000000188800000186/index.m3u8
影视1,http://39.136.35.159:8006/050000001888/5000000188800000189/index.m3u8
影视2,http://39.136.35.159:8006/050000001888/5000000188800000190/index.m3u8
