央视,#genre#
内蒙古农牧频道高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226112/10000100000000060000000000784887_0.smil
内蒙古农牧频道高清,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000639/1.m3u8
内蒙古新闻综合高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226109/10000100000000060000000000784890_0.smil
内蒙古新闻综合高清,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000636/1.m3u8
内蒙古少儿频道高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226108/10000100000000060000000000784891_0.smil
内蒙古少儿频道高清,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000634/1.m3u8
内蒙古蒙古语卫视1,rtsp://10.11.43.21/PLTV/88888912/224/3221226086/10000100000000060000000000663216_0.smil
内蒙古蒙古语卫视1,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000227/1.m3u8
内蒙古蒙古语卫视2,rtsp://10.11.43.21/PLTV/88888912/224/3221226110/10000100000000060000000000784889_0.smil
内蒙古蒙古语卫视2,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000637/1.m3u8
呼和浩特新闻综合,rtsp://10.11.43.21/PLTV/88888912/224/3221226585/10000100000000060000000001126204_0.smil
呼和浩特影视娱乐,rtsp://10.11.43.21/PLTV/88888912/224/3221226594/10000100000000060000000001126199_0.smil



其他频道,#genre#
CETV1,rtsp://10.11.43.21/PLTV/88888912/224/3221226772/455625684.smil
CETV1,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000568/1.m3u8
北京纪实科教,rtsp://10.11.43.21/PLTV/88888912/224/3221226512/10000100000000060000000001119242_0.smil
北京纪实科教,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000441/1.m3u8
北京卡酷少儿,rtsp://10.11.43.21/PLTV/88888912/224/3221226651/426212078.smil
北京卡酷少儿,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000150/1.m3u8
湖南金鹰纪实,rtsp://10.11.43.21/PLTV/88888912/224/3221226506/10000100000000060000000001119245_0.smil
湖南金鹰纪实,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000386/1.m3u8
湖南金鹰卡通,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000151/1.m3u8
广东嘉佳卡通,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000352/1.m3u8
